pid	name	provider_id	genre	pop_item	pop_provider
3	Up the Downstair	4	39	0.8518518518518519	0.21150014232849418
8	Tornado Of Souls	1	12	0.04873294346978557	0.2241673783091375
64	The End of the Beginning	25	1261	0.07602339181286549	0.20523768858525476
72	Brand New Start	12	68	0.11500974658869395	0.056219755194990034
81	I Drive the Hearse	4	39	0.08576998050682261	0.21150014232849418
82	Circle of Manias	4	39	0.4269005847953216	0.21150014232849418
87	Octane Twisted	4	39	0.40350877192982454	0.21150014232849418
99	Kneel and Disconnect	4	39	0.08966861598440545	0.21150014232849418
101	Mr. Crowley	37	50	0.18908382066276802	0.16353543979504698
117	Darkness and Frost	40	42	0.05458089668615984	0.028892684315399944
120	Summer Moved On	11	19	0.15204678362573099	0.015086820381440364
125	Silent Scream	43	1239	0.06042884990253411	0.39111870196413323
159	Dissolving With the Night	20	20	0.3157894736842105	0.035012809564474806
161	Not Beautiful Anymore	4	39	0.3216374269005848	0.21150014232849418
181	Revolution Is My Name	56	1239	0.5380116959064327	0.24537432393965272
188	Silent Night, Bodom Night	59	1239	0.5653021442495126	0.19968687731283802
190	Street Fighting Man	29	68	0.1871345029239766	0.11144321093082835
227	Hunting Song	69	1178	0.07407407407407407	0.14460575007116425
244	Words Darker Than Their Wings	12	68	0.37037037037037035	0.056219755194990034
253	Make It Right	12	68	0.1286549707602339	0.056219755194990034
254	Still Remains	12	68	0.15594541910331383	0.056219755194990034
261	Ghost Of Days Gone By	12	68	0.13840155945419103	0.056219755194990034
296	Sectarian	30	1487	0.050682261208576995	0.029746655280387134
306	Master Of The Moon	92	50	0.11695906432748537	0.048818673498434384
310	Kill Your Heroes	95	1463	0.06627680311890838	0.04782237403928266
311	Thunderhorse	96	1004	0.4327485380116959	0.05735838314830629
330	My Jekyll Doesn't Hide	37	50	0.34307992202729043	0.16353543979504698
369	Harmony Korine	30	1487	0.20662768031189083	0.029746655280387134
377	Intermediate Jesus	4	39	0.14619883040935672	0.21150014232849418
380	We Got Used To Us	19	39	0.1267056530214425	0.04924565898092798
387	Little James	79	20	0.2378167641325536	0.16552803871335042
392	Act of Desperation	104	85	0.3937621832358674	0.011243951038998008
395	Unholy Confessions	105	1239	0.3684210526315789	0.14787930543694847
405	Silent Scream	59	1239	0.0682261208576998	0.19968687731283802
409	Triple Corpse Hammerblow	59	1239	0.14619883040935672	0.19968687731283802
419	Sixpounder	59	1239	0.20857699805068225	0.19968687731283802
446	Never Enough	7	32	0.19103313840155944	0.2588955308852832
449	Only Child	30	1487	0.1949317738791423	0.029746655280387134
459	Blackfield	20	20	0.3820662768031189	0.035012809564474806
474	Dio	115	1437	0.09941520467836257	0.23128380301736406
475	Kickapoo	115	1437	0.09941520467836257	0.23128380301736406
488	Lonely Is the Word	85	50	0.05263157894736842	0.3334756618274979
493	Blinded in Chains	105	1239	0.1111111111111111	0.14787930543694847
494	Burn It Down	105	1239	0.2300194931773879	0.14787930543694847
530	Helpless	124	50	0.17738791423001948	0.00740108169655565
533	Left Out	19	39	0.14230019493177387	0.04924565898092798
537	Egoist Hedonist	19	39	0.3684210526315789	0.04924565898092798
582	Technical Difficulties	133	25	0.2651072124756335	0.003842869342442357
590	Rust Never Sleeps	138	7	0.31773879142300193	0.05550811272416738
594	Can't Stop	27	68	0.2475633528265107	0.7235980643324793
596	Director's Cut	104	85	0.1871345029239766	0.011243951038998008
599	Forever and a Day	141	1902	0.16569200779727095	0.2596071733561059
617	Scars	20	20	0.17348927875243664	0.035012809564474806
621	Burning My Soul	7	32	0.10916179337231968	0.2588955308852832
631	These Days	3	68	0.29434697855750486	0.18730429832052378
674	The Small Print	153	20	0.24366471734892786	0.3000284656988329
678	Fragile Dreams	67	32	0.1189083820662768	0.17207514944491886
689	Farther Than The Sun	12	68	0.0935672514619883	0.056219755194990034
690	Cry A River	12	68	0.2962962962962963	0.056219755194990034
693	The Uninvited	12	68	0.4580896686159844	0.056219755194990034
694	Bleed It Dry	12	68	0.16764132553606237	0.056219755194990034
707	The Baying of the Hounds	71	7	0.23976608187134502	0.3448619413606604
708	Cemetery Gates	56	1239	0.1617933723196881	0.24537432393965272
716	I'll Cast a Shadow	56	1239	0.1539961013645224	0.24537432393965272
721	Yesterday Don't Mean Shit	56	1239	0.09161793372319688	0.24537432393965272
781	Unspoken	44	230	0.11695906432748537	0.04255621975519499
792	Silver Lining	44	230	0.18518518518518517	0.04255621975519499
793	Illuminated	44	230	0.21052631578947367	0.04255621975519499
800	Sword Chant	166	1178	0.23391812865497075	0.09962994591517221
808	Battle Song	166	1178	0.2124756335282651	0.09962994591517221
815	Treacherous Gods	166	1178	0.11500974658869395	0.09962994591517221
817	Abandoned	166	1178	0.07407407407407407	0.09962994591517221
844	Prediction of Warfare	8	1178	0.1189083820662768	0.23925419869057785
854	The Psalm of Lydia	174	43	0.3586744639376218	0.048818673498434384
855	Sell My Heart For Stones	174	43	0.11695906432748537	0.048818673498434384
857	Message to Harry Manback II	129	32	0.10721247563352826	0.22857956162823798
859	Dreaming Light	67	32	0.09941520467836257	0.17207514944491886
867	Otherside	27	68	0.34502923976608185	0.7235980643324793
868	Nienawiść	82	20	0.3001949317738791	0.048534016510105325
874	Sentient 6	174	43	0.2787524366471735	0.048818673498434384
881	Clairvoyant Disease	105	1239	0.27680311890838205	0.14787930543694847
913	Get the Lead Out	148	0	0.12085769980506822	0.10489610019925989
918	All Around the World (reprise)	79	20	0.15009746588693956	0.16552803871335042
923	Incantations Of The Apprentice	186	85	0.07017543859649122	0.05479647025334472
954	Alter Mann	172	1239	0.1968810916179337	0.3861372046683746
974	We Will Rock You	140	20	0.1793372319688109	0.515798462852263
977	Stronger Than All	198	12	0.1111111111111111	0.05807002561912895
1007	Strip the Soul	4	39	0.20077972709551656	0.21150014232849418
1009	My Ashes	4	39	0.31773879142300193	0.21150014232849418
1051	Wedding Nails	4	39	0.056530214424951264	0.21150014232849418
1052	Gravity Eyelids	4	39	0.04873294346978557	0.21150014232849418
1056	Fast As a Shark	220	50	0.06237816764132553	0.04782237403928266
1076	Day 69	222	152	0.1793372319688109	0.06290919442072303
1109	Long Road to Ruin	3	68	0.10916179337231968	0.18730429832052378
1114	Floods	56	1239	0.07407407407407407	0.24537432393965272
1116	Suicide Note Pt. II	56	1239	0.13840155945419103	0.24537432393965272
1125	Use My Third Arm	56	1239	0.08771929824561403	0.24537432393965272
1138	No Good (Attack the Radical)	56	1239	0.09161793372319688	0.24537432393965272
1149	Alcohaulin' Ass	199	12	0.22417153996101363	0.010816965556504412
1156	Fading Like A Flower	84	20	0.0682261208576998	0.012951892968972388
1157	HELLYEAH	199	12	0.13450292397660818	0.010816965556504412
1166	Lyla	79	20	0.3567251461988304	0.16552803871335042
1171	Sadness and Hate	40	42	0.4502923976608187	0.028892684315399944
1177	Supa Scoopa and Mighty Scoop	229	881	0.3820662768031189	0.06618274978650726
1183	Gardenia	229	881	0.45614035087719296	0.06618274978650726
1188	Fatso Forgotso	229	881	0.4600389863547758	0.06618274978650726
1199	Northern Comfort	59	1239	1.0	0.19968687731283802
1214	You're My Best Friend	140	20	0.12280701754385964	0.515798462852263
1238	Was It Worth It?	59	1239	0.07992202729044834	0.19968687731283802
1266	Banned from Heaven	59	1239	0.09161793372319688	0.19968687731283802
1272	Blooddrunk	59	1239	0.4015594541910331	0.19968687731283802
1273	Hellhounds on My Trail	59	1239	0.07017543859649122	0.19968687731283802
1285	Cloudy Now	20	20	0.3567251461988304	0.035012809564474806
1293	Lake Bodom	59	1239	0.2573099415204678	0.19968687731283802
