rating_id	new_id
761	0
1080	1
704	2
2965	3
2393	4
3325	5
2103	6
256	7
2475	8
3612	9
2347	10
1250	11
764	12
2471	13
663	14
423	15
177	16
1256	17
3513	18
937	19
84	20
1552	21
1066	22
3401	23
2392	24
864	25
2110	26
2844	27
1257	28
3723	29
1954	30
1608	31
3444	32
1057	33
3675	34
3951	35
1750	36
2241	37
307	38
3022	39
733	40
468	41
1927	42
146	43
160	44
1289	45
931	46
238	47
2723	48
1659	49
2973	50
2007	51
2288	52
1569	53
2658	54
2662	55
2173	56
674	57
1426	58
3531	59
2501	60
3798	61
141	62
631	63
3443	64
153	65
270	66
2829	67
1263	68
2470	69
76	70
458	71
352	72
548	73
2073	74
3564	75
3691	76
1939	77
3608	78
1222	79
1969	80
1431	81
2947	82
93	83
233	84
1096	85
3551	86
2087	87
1355	88
1967	89
1936	90
2072	91
800	92
3041	93
3028	94
851	95
488	96
333	97
510	98
3885	99
2279	100
2751	101
2944	102
3731	103
3903	104
3875	105
436	106
3784	107
3179	108
3584	109
2088	110
523	111
258	112
3878	113
3672	114
452	115
3258	116
3805	117
2232	118
3733	119
340	120
2774	121
1624	122
1464	123
1973	124
3434	125
329	126
3303	127
379	128
2114	129
3498	130
2469	131
1749	132
1487	133
1837	134
3610	135
1854	136
169	137
2160	138
2611	139
3555	140
2574	141
1601	142
2645	143
3339	144
2015	145
289	146
1541	147
3107	148
1596	149
1864	150
1570	151
2000	152
3402	153
903	154
3547	155
1522	156
3776	157
2441	158
1191	159
479	160
2068	161
2195	162
1597	163
3913	164
3928	165
375	166
1214	167
1472	168
2492	169
2297	170
2107	171
244	172
1238	173
2278	174
2881	175
271	176
3008	177
3576	178
3155	179
2617	180
1167	181
3374	182
716	183
1855	184
3848	185
3357	186
2356	187
2196	188
648	189
2753	190
3159	191
3105	192
1438	193
953	194
10	195
188	196
1005	197
1635	198
2837	199
2542	200
2775	201
2975	202
3287	203
2433	204
292	205
364	206
2424	207
2487	208
3397	209
805	210
199	211
517	212
3147	213
1370	214
950	215
99	216
1021	217
3769	218
2464	219
405	220
1085	221
3548	222
3180	223
1024	224
957	225
1276	226
1363	227
3331	228
1636	229
1411	230
3045	231
1903	232
3218	233
1405	234
2468	235
3350	236
2397	237
3643	238
2109	239
3431	240
2693	241
1232	242
3347	243
2429	244
2622	245
1675	246
1334	247
408	248
1000	249
3062	250
1083	251
3918	252
197	253
2032	254
486	255
2434	256
3343	257
1408	258
1613	259
2727	260
2418	261
220	262
1904	263
1056	264
3079	265
671	266
2050	267
2410	268
2268	269
3161	270
2169	271
2644	272
490	273
2669	274
2408	275
1681	276
3925	277
1869	278
326	279
2745	280
2994	281
2518	282
457	283
2717	284
2180	285
2659	286
2106	287
1518	288
2414	289
96	290
850	291
1111	292
3824	293
1500	294
2971	295
3728	296
3710	297
2627	298
2862	299
779	300
3743	301
3730	302
2479	303
1666	304
3529	305
1471	306
3638	307
41	308
155	309
1719	310
711	311
3094	312
1941	313
1352	314
1380	315
3702	316
939	317
2267	318
3821	319
2439	320
1101	321
2571	322
3457	323
2808	324
554	325
487	326
1816	327
1242	328
3296	329
3865	330
1480	331
1104	332
1323	333
942	334
2075	335
1126	336
708	337
2043	338
205	339
1991	340
2338	341
587	342
295	343
1439	344
968	345
3846	346
3825	347
2458	348
3644	349
3524	350
1217	351
2041	352
692	353
422	354
920	355
3490	356
520	357
3036	358
501	359
2865	360
2647	361
3835	362
1306	363
3252	364
1566	365
1857	366
2815	367
1228	368
2968	369
3660	370
3005	371
1441	372
2596	373
2126	374
2549	375
3466	376
2062	377
2120	378
515	379
1878	380
3097	381
813	382
2560	383
2132	384
3146	385
2301	386
1612	387
1261	388
647	389
2488	390
3877	391
1178	392
3550	393
165	394
1502	395
1822	396
3006	397
1918	398
105	399
3649	400
1327	401
3051	402
1466	403
3927	404
3221	405
1919	406
3895	407
2395	408
184	409
535	410
2378	411
2550	412
2467	413
2061	414
3873	415
2886	416
2284	417
