id	kb_relation	name
0	http://dbpedia.org/ontology/cinematography	cinematography_by_cinematographer
1	http://dbpedia.org/property/productionCompanies	produced_by_prodcompany
2	http://dbpedia.org/property/composer	composed_by_composer
3	http://purl.org/dc/terms/subject	belong_to_category
4	http://dbpedia.org/ontology/starring	starred_by_actor
5	http://dbpedia.org/ontology/country	produced_in_country
6	http://dbpedia.org/ontology/editing	edited_by_editor
7	http://dbpedia.org/property/producers	produced_by_producer
8	http://dbpedia.org/property/allWriting	wrote_by_writter
9	http://dbpedia.org/ontology/director	directed_by_director
10	http://dbpedia.org/ontology/wikiPageWikiLink	related_to_wikipage
