pid	name	provider_id	genre	pop_item	pop_provider
2	Jumanji (1995)	4945	Adventure	0.08737864077669903	0.08774503267102281
3	Grumpier Old Men (1995)	26502	Comedy	0.6889736477115118	0.057207627683691156
4	Waiting to Exhale (1995)	2178	Comedy	0.36789181692094314	0.016802240298706493
5	Father of the Bride Part II (1995)	56106	Comedy	0.10090152565880721	0.008534471262835045
6	Heat (1995)	638	Action	0.06414701803051318	0.1261501533537805
7	Sabrina (1995)	2226	Comedy	0.020804438280166437	0.0992799039871983
8	Tom and Huck (1995)	18357	Adventure	0.2780859916782247	0.0026670222696359514
10	GoldenEye (1995)	10702	Action	0.34119278779472956	0.08601146819575943
11	American President, The (1995)	3026	Comedy	0.20769764216366157	0.44839311908254437
12	Dracula: Dead and Loving It (1995)	14639	Comedy	0.46775312066574204	0.16208827843712495
13	Balto (1995)	21879	Animation	0.10575589459084604	0.03260434724629951
14	Nixon (1995)	1152	Drama	0.815880721220527	0.1589545272703027
15	Cutthroat Island (1995)	16938	Action	0.3973647711511789	0.10494732631017469
16	Casino (1995)	1032	Drama	0.25728155339805825	0.27797039605280704
17	Sense and Sensibility (1995)	1614	Drama	0.3179611650485437	0.060608081077477
18	Four Rooms (1995)	3110	Thriller	0.7326629680998613	0.006800906787571676
19	Ace Ventura: When Nature Calls (1995)	4489	Comedy	0.13869625520110956	0.012535004667288971
20	Money Train (1995)	52629	Action	0.029472954230235784	0.02400320042672356
21	Get Shorty (1995)	5174	Action	0.17128987517337033	0.26423523136418187
22	Copycat (1995)	15148	Crime	0.10991678224687934	0.06220829443925857
23	Assassins (1995)	7187	Thriller	0.271497919556172	0.3411121482864382
24	Powder (1995)	56349	Drama	0.21809986130374479	0.023936524869982663
25	Leaving Las Vegas (1995)	6111	Drama	0.5610263522884882	0.050940125350046675
26	Othello (1995)	56710	Drama	0.119625520110957	0.020002667022269636
27	Now and Then (1995)	15798	Drama	0.16019417475728157	0.0020669422589678623
28	Persuasion (1995)	7017	Romance	0.5585991678224688	0.03473796506200827
29	City of Lost Children, The (1995)	2419	Adventure	0.14528432732316227	0.06907587678357115
30	Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)	607	Drama	0.11199722607489598	0.015868782504333913
31	Dangerous Minds (1995)	60295	Drama	0.6834257975034674	0.005867448993199093
32	Twelve Monkeys (1995)	280	Drama	0.8144937586685159	0.27743699159887986
34	Babe (1995)	58137	Children's	0.07975034674063801	0.08361114815308708
35	Carrington (1995)	12952	Drama	0.09361997226074896	0.0019335911454860647
36	Dead Man Walking (1995)	504	Drama	0.13730929264909847	0.05967462328310441
38	It Takes Two (1995)	17167	Comedy	0.028779472954230237	0.03780504067208961
39	Clueless (1995)	57434	Comedy	0.33044382801664357	0.11348179757300973
40	Cry, the Beloved Country (1995)	-1	Drama	0.5648404993065187	0.0
41	Richard III (1995)	33315	Drama	0.05027739251040222	0.010601413521802907
42	Dead Presidents (1995)	11447	Action	1.0	0.021269502600346712
43	Restoration (1995)	52405	Drama	0.4067267683772538	0.04347246299506601
44	Mortal Kombat (1995)	4014	Action	0.6726768377253814	0.040272036271502866
45	To Die For (1995)	5216	Comedy	0.08980582524271845	0.12441658887851714
46	How to Make an American Quilt (1995)	3047	Drama	0.08945908460471567	0.007200960128017069
47	Seven (Se7en) (1995)	1922138	Crime	0.23717059639389737	0.04487264968662488
48	Pocahontas (1995)	65530	Animation	0.13002773925104022	0.021602880384051205
49	When Night Is Falling (1995)	55439	Drama	0.09431345353675451	0.00713428457127617
50	Usual Suspects, The (1995)	9032	Crime	0.6612343966712899	0.08667822376316842
52	Mighty Aphrodite (1995)	1243	Comedy	0.11199722607489598	0.3123083077743699
53	Lamerica (1994)	128107	Drama	0.27461858529819694	0.00026670222696359517
54	Big Green, The (1995)	71338	Children's	0.26941747572815533	0.001200160021336178
55	Georgia (1995)	140354	Drama	0.11061026352288489	0.008601146819575944
57	Home for the Holidays (1995)	1038	Drama	0.8387656033287101	0.003467128950526737
60	Indian in the Cupboard, The (1995)	7908	Adventure	0.13210818307905686	0.12768369115882117
61	Eye for an Eye (1996)	19304	Drama	0.20908460471567267	0.08581144152553674
62	Mr. Holland's Opus (1995)	18356	Drama	0.2766990291262136	0.06747566342178957
63	Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)	45649	Comedy	0.10575589459084604	0.003000400053340445
64	Two if by Sea (1996)	49361	Comedy	0.1421636615811373	0.002400320042672356
65	Bio-Dome (1996)	57870	Comedy	0.3325242718446602	0.003733831177490332
66	Lawnmower Man 2: Beyond Cyberspace (1996)	69721	Sci-Fi	0.11511789181692095	0.0030670756100813442
68	French Twist (Gazon maudit) (1995)	35137	Comedy	0.10610263522884882	0.002400320042672356
69	Friday (1995)	37932	Comedy	0.4552704576976422	0.04753967195626083
70	From Dusk Till Dawn (1996)	2294	Action	0.2354368932038835	0.104747299639952
71	Fair Game (1995)	70850	Action	0.31345353675450766	0.003200426723563142
72	Kicking and Screaming (1995)	5656	Comedy	0.08633841886269071	0.004800640085344712
74	Bed of Roses (1996)	10296	Drama	0.3699722607489598	0.0036004800640085347
75	Big Bully (1996)	58712	Comedy	0.06934812760055478	0.05220696092812375
76	Screamers (1995)	25735	Sci-Fi	0.1529126213592233	0.008467795706094145
78	Crossing Guard, The (1995)	2228	Drama	0.06761442441054091	0.0017335644752633685
79	Juror, The (1996)	18069	Drama	0.4292649098474341	0.016202160288038406
81	Things to Do in Denver when You're Dead (1995)	5501	Crime	0.02912621359223301	0.017935724763301773
82	Antonia's Line (Antonia) (1995)	13496	Drama	0.1022884882108183	0.003133751166822243
84	Last Summer in the Hamptons (1995)	117075	Comedy	0.07524271844660194	0.000600080010668089
86	White Squall (1996)	578	Adventure	0.18065187239944522	0.3136418189091879
87	Dunston Checks In (1996)	29009	Children's	0.048196948682385575	0.010201360181357514
88	Black Sheep (1996)	58448	Comedy	0.314493758668516	0.06280837444992665
89	Nick of Time (1995)	12840	Action	0.13141470180305131	0.035004667288971864
90	Journey of August King, The (1995)	72624	Drama	0.05513176144244106	0.008534471262835045
92	Mary Reilly (1996)	3224	Drama	0.15325936199722606	0.1430857447659688
93	Vampire in Brooklyn (1995)	5140	Comedy	0.19382801664355062	0.11761568209094546
94	Beautiful Girls (1996)	34849	Drama	0.07108183079056865	0.021136151486864915
95	Broken Arrow (1996)	11401	Action	0.07212205270457697	0.1476196826243499
96	In the Bleak Midwinter (1995)	11181	Comedy	0.03155339805825243	0.10074676623549807
99	Heidi Fleiss: Hollywood Madam (1995)	92561	Documentary	0.018377253814147017	0.0040005334044539275
